4.202500000000000679e-02,4.249736100000000572e-01,-4.202500000000000679e-02
4.409999999999999337e-02,4.403649599999999165e-01,-4.409999999999999337e-02
4.622499999999999526e-02,4.557600099999999377e-01,-4.622499999999999526e-02
4.839999999999999858e-02,4.711449600000000015e-01,-4.839999999999999858e-02
5.062500000000000333e-02,4.865062500000000290e-01,-5.062500000000000333e-02
5.290000000000000258e-02,5.018305600000000366e-01,-5.290000000000000258e-02
5.522500000000001019e-02,5.171048100000000813e-01,-5.522500000000001019e-02
5.759999999999999842e-02,5.323161600000000382e-01,-5.759999999999999842e-02
6.002499999999999503e-02,5.474520099999999889e-01,-6.002499999999999503e-02
6.250000000000000000e-02,5.625000000000000000e-01,-6.250000000000000000e-02
6.502499999999999947e-02,5.774480099999999005e-01,-6.502499999999999947e-02
6.760000000000000731e-02,5.922841600000000595e-01,-6.760000000000000731e-02
7.022500000000000964e-02,6.069968100000001643e-01,-7.022500000000000964e-02
7.290000000000000646e-02,6.215745599999999982e-01,-7.290000000000000646e-02
7.562500000000001166e-02,6.360062499999999952e-01,-7.562500000000001166e-02
7.840000000000001135e-02,6.502809600000000190e-01,-7.840000000000001135e-02
8.122500000000001941e-02,6.643880100000001399e-01,-8.122500000000001941e-02
8.409999999999999420e-02,6.783169600000000798e-01,-8.409999999999999420e-02
8.702499999999999125e-02,6.920576099999998787e-01,-8.702499999999999125e-02
8.999999999999999667e-02,7.056000000000000050e-01,-8.999999999999999667e-02
9.302499999999999658e-02,7.189344099999999127e-01,-9.302499999999999658e-02
9.610000000000000486e-02,7.320513600000001508e-01,-9.610000000000000486e-02
9.922500000000000764e-02,7.449416100000000318e-01,-9.922500000000000764e-02
1.024000000000000049e-01,7.575961599999998519e-01,-1.024000000000000049e-01
1.056250000000000105e-01,7.700062500000002252e-01,-1.056250000000000105e-01
1.089000000000000107e-01,7.821633600000000852e-01,-1.089000000000000107e-01
1.122250000000000192e-01,7.940592100000001263e-01,-1.122250000000000192e-01
1.156000000000000222e-01,8.056857600000002506e-01,-1.156000000000000222e-01
1.190250000000000197e-01,8.170352100000000117e-01,-1.190250000000000197e-01
1.225000000000000255e-01,8.281000000000001693e-01,-1.225000000000000255e-01
1.260249999999999981e-01,8.388728100000002463e-01,-1.260249999999999981e-01
1.295999999999999930e-01,8.493465599999999727e-01,-1.295999999999999930e-01
1.332249999999999823e-01,8.595144099999998399e-01,-1.332249999999999823e-01
1.368999999999999939e-01,8.693697599999999914e-01,-1.368999999999999939e-01
1.406250000000000000e-01,8.789062500000000000e-01,-1.406250000000000000e-01
1.444000000000000006e-01,8.881177599999998673e-01,-1.444000000000000006e-01
1.482249999999999956e-01,8.969984099999999128e-01,-1.482249999999999956e-01
1.521000000000000130e-01,9.055425600000002184e-01,-1.521000000000000130e-01
1.560250000000000248e-01,9.137448100000002960e-01,-1.560250000000000248e-01
1.600000000000000311e-01,9.216000000000000858e-01,-1.600000000000000311e-01
1.640250000000000319e-01,9.291032100000004013e-01,-1.640250000000000319e-01
1.681000000000000272e-01,9.362497600000002640e-01,-1.681000000000000272e-01
1.722250000000000170e-01,9.430352099999997906e-01,-1.722250000000000170e-01
1.763999999999999735e-01,9.494553599999999705e-01,-1.763999999999999735e-01
1.806249999999999800e-01,9.555062499999998904e-01,-1.806249999999999800e-01
1.848999999999999810e-01,9.611841599999998431e-01,-1.848999999999999810e-01
1.892250000000000043e-01,9.664856100000002170e-01,-1.892250000000000043e-01
1.935999999999999943e-01,9.714073600000000530e-01,-1.935999999999999943e-01
1.980250000000000066e-01,9.759464099999998199e-01,-1.980250000000000066e-01
2.025000000000000133e-01,9.800999999999998602e-01,-2.025000000000000133e-01
2.070250000000000146e-01,9.838656099999999460e-01,-2.070250000000000146e-01
2.116000000000000103e-01,9.872409600000000562e-01,-2.116000000000000103e-01
2.162250000000000283e-01,9.902240100000002654e-01,-2.162250000000000283e-01
2.209000000000000408e-01,9.928129600000004107e-01,-2.209000000000000408e-01
2.256250000000000200e-01,9.950062499999996479e-01,-2.256250000000000200e-01
2.303999999999999937e-01,9.968025600000003372e-01,-2.303999999999999937e-01
2.352249999999999897e-01,9.982008099999999384e-01,-2.352249999999999897e-01
2.400999999999999801e-01,9.992001599999998929e-01,-2.400999999999999801e-01
2.450249999999999928e-01,9.998000099999997392e-01,-2.450249999999999928e-01
2.500000000000000000e-01,1.000000000000000000e+00,-2.500000000000000000e-01
2.550250000000000017e-01,9.998000099999995172e-01,-2.550250000000000017e-01
2.600999999999999979e-01,9.992001599999993378e-01,-2.600999999999999979e-01
2.652249999999999885e-01,9.982008099999999384e-01,-2.652249999999999885e-01
2.704000000000000292e-01,9.968025600000003372e-01,-2.704000000000000292e-01
2.756250000000000089e-01,9.950062499999998700e-01,-2.756250000000000089e-01
2.809000000000000385e-01,9.928129600000006327e-01,-2.809000000000000385e-01
2.862250000000000072e-01,9.902240099999999323e-01,-2.862250000000000072e-01
2.916000000000000258e-01,9.872409600000000562e-01,-2.916000000000000258e-01
